id,identifier,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,is_legendary,is_mythical,order,conquest_order
1,bulbasaur,1,0,1,5,8,3,1,45,50,0,20,0,4,0,0,0,1,0
2,ivysaur,1,1,1,5,8,3,1,45,50,0,20,0,4,0,0,0,2,0
3,venusaur,1,2,1,5,8,3,1,45,50,0,20,1,4,1,0,0,3,0
4,charmander,1,0,2,8,6,4,1,45,50,0,20,0,4,0,0,0,4,109
5,charmeleon,1,4,2,8,6,4,1,45,50,0,20,0,4,0,0,0,5,110
6,charizard,1,5,2,8,6,4,1,45,50,0,20,0,4,1,0,0,6,111
7,squirtle,1,0,3,2,6,9,1,45,50,0,20,0,4,0,0,0,7,0
8,wartortle,1,7,3,2,6,9,1,45,50,0,20,0,4,0,0,0,8,0
9,blastoise,1,8,3,2,6,9,1,45,50,0,20,0,4,1,0,0,9,0
10,caterpie,1,0,4,5,14,2,4,255,50,0,15,0,2,0,0,0,10,0
11,metapod,1,10,4,5,2,2,4,120,50,0,15,0,2,0,0,0,11,0
12,butterfree,1,11,4,9,13,2,4,45,50,0,15,1,2,0,0,0,12,0
13,weedle,1,0,5,3,14,2,4,255,70,0,15,0,2,0,0,0,13,0
14,kakuna,1,13,5,10,2,2,4,120,70,0,15,0,2,0,0,0,14,0
15,beedrill,1,14,5,10,13,2,4,45,70,0,15,0,2,1,0,0,15,177
16,pidgey,1,0,6,3,9,2,4,255,70,0,15,0,4,0,0,0,16,0
17,pidgeotto,1,16,6,3,9,2,4,120,70,0,15,0,4,0,0,0,17,0
18,pidgeot,1,17,6,3,9,2,4,45,70,0,15,0,4,1,0,0,18,0
19,rattata,1,0,7,7,8,3,4,255,70,0,15,1,2,0,0,0,19,0
20,raticate,1,19,7,3,8,3,4,127,70,0,15,1,2,0,0,0,20,0
21,spearow,1,0,8,3,9,6,4,255,70,0,15,0,2,0,0,0,21,0
22,fearow,1,21,8,3,9,6,4,90,70,0,15,0,2,0,0,0,22,0
23,ekans,1,0,9,7,2,3,4,255,70,0,20,0,2,0,0,0,23,54
24,arbok,1,23,9,7,2,3,4,90,70,0,20,0,2,0,0,0,24,55
25,pikachu,1,172,10,10,8,2,4,190,50,0,10,1,2,0,0,0,26,16
26,raichu,1,25,10,10,6,2,4,75,50,0,10,1,2,0,0,0,27,17
27,sandshrew,1,0,11,10,6,6,4,255,50,0,20,0,2,0,0,0,28,0
28,sandslash,1,27,11,10,6,6,4,90,50,0,20,0,2,0,0,0,29,0
29,nidoran-f,1,0,12,2,8,3,8,235,50,0,20,0,4,0,0,0,30,0
30,nidorina,1,29,12,2,8,3,8,120,50,0,20,0,4,0,0,0,31,0
31,nidoqueen,1,30,12,2,6,3,8,45,50,0,20,0,4,0,0,0,32,0
32,nidoran-m,1,0,13,7,8,3,0,235,50,0,20,0,4,0,0,0,33,0
33,nidorino,1,32,13,7,8,3,0,120,50,0,20,0,4,0,0,0,34,0
34,nidoking,1,33,13,7,6,3,0,45,50,0,20,0,4,0,0,0,35,0
35,clefairy,1,173,14,6,6,4,6,150,140,0,10,0,3,0,0,0,37,0
36,clefable,1,35,14,6,6,4,6,25,140,0,10,0,3,0,0,0,38,0
37,vulpix,1,0,15,3,8,3,6,190,50,0,20,0,2,0,0,0,39,0
